#year,month,day,lat,lon,frph,instrument
2023,4,5,52.12,126.48,6.02,AHI Himawari-9
2023,4,5,52.12,126.5,6.23,AHI Himawari-9
2023,4,5,51.32,126.94,7.97,AHI Himawari-9
2023,4,5,51.32,126.96,7.97,AHI Himawari-9
2023,4,5,51.16,126.84,6.38,AHI Himawari-9
2023,4,5,51.16,126.86,6.38,AHI Himawari-9
2023,4,5,51.14,126.88,7.71,AHI Himawari-9
2023,4,5,51.12,126.88,8.96,AHI Himawari-9
2023,4,5,51.12,126.9,8.96,AHI Himawari-9
2023,4,5,51.02,125.1,6.05,AHI Himawari-9
2023,4,5,50.76,126.94,3.27,AHI Himawari-9
2023,4,5,50.72,126.86,2.42,AHI Himawari-9
2023,4,5,50.56,123.76,2.52,AHI Himawari-9
2023,4,5,50.2,126.06,5.58,AHI Himawari-9
2023,4,5,50.18,126.06,5.58,AHI Himawari-9
2023,4,5,50.16,126.04,6.49,AHI Himawari-9
2023,4,5,50,126.88,4.91,AHI Himawari-9
2023,4,5,49.96,126.9,5.87,AHI Himawari-9
2023,4,5,49.94,123.88,3.22,AHI Himawari-9
2023,4,5,49.94,126.58,4.27,AHI Himawari-9
2023,4,5,49.78,120.32,5.22,AHI Himawari-9
2023,4,5,49.6,123.7,6.97,AHI Himawari-9
2023,4,5,49.48,124.66,4.99,AHI Himawari-9
2023,4,5,49.46,124.42,13.4,AHI Himawari-9
2023,4,5,49.46,124.66,4.99,AHI Himawari-9
2023,4,5,49.46,125.12,3.09,AHI Himawari-9
2023,4,5,49.46,125.14,3.09,AHI Himawari-9
2023,4,5,49.44,124.42,13.4,AHI Himawari-9
2023,4,5,49.44,124.44,13.4,AHI Himawari-9
2023,4,5,49.44,125.14,3.09,AHI Himawari-9
2023,4,5,49.38,125.04,8.88,AHI Himawari-9
2023,4,5,49.38,125.06,4.65,AHI Himawari-9
2023,4,5,49.38,125.08,4.65,AHI Himawari-9
2023,4,5,49.32,125.06,9.14,AHI Himawari-9
2023,4,5,49.32,125.1,5.72,AHI Himawari-9
2023,4,5,49.3,125.04,5.81,AHI Himawari-9
2023,4,5,49.3,125.08,9.14,AHI Himawari-9
2023,4,5,49.28,125.08,12.18,AHI Himawari-9
2023,4,5,49.26,125.08,12.18,AHI Himawari-9
2023,4,5,49.2,124.46,34.83,AHI Himawari-9
2023,4,5,49.2,124.76,32.92,AHI Himawari-9
2023,4,5,49.18,124.5,27.64,AHI Himawari-9
2023,4,5,49.18,124.76,32.92,AHI Himawari-9
2023,4,5,49.16,124.06,6.06,AHI Himawari-9
2023,4,5,49.16,124.08,6.06,AHI Himawari-9
2023,4,5,49.16,124.5,14.87,AHI Himawari-9
2023,4,5,49.16,124.76,9.62,AHI Himawari-9
2023,4,5,49.14,124.12,2.85,AHI Himawari-9
2023,4,5,49.14,124.76,9.62,AHI Himawari-9
2023,4,5,49.14,124.8,14.84,AHI Himawari-9
2023,4,5,49.14,124.82,11.28,AHI Himawari-9
2023,4,5,49.12,124.42,4.6,AHI Himawari-9
2023,4,5,49.12,124.44,4.6,AHI Himawari-9
2023,4,5,49.06,122.28,4.68,AHI Himawari-9
2023,4,5,49.06,124.52,4.13,AHI Himawari-9
2023,4,5,49.02,124.02,3.41,AHI Himawari-9
2023,4,5,49.02,124.04,3.41,AHI Himawari-9
2023,4,5,49,124.04,3.41,AHI Himawari-9
2023,4,5,48.98,124.02,17.13,AHI Himawari-9
2023,4,5,48.96,124.02,17.13,AHI Himawari-9
2023,4,5,48.96,124.04,17.13,AHI Himawari-9
2023,4,5,48.94,124.08,8.67,AHI Himawari-9
2023,4,5,48.94,124.44,17.18,AHI Himawari-9
2023,4,5,48.92,123.98,3.88,AHI Himawari-9
2023,4,5,48.92,124.4,21.84,AHI Himawari-9
2023,4,5,48.92,124.42,21.84,AHI Himawari-9
2023,4,5,48.92,124.44,17.18,AHI Himawari-9
2023,4,5,48.92,126.1,10.56,AHI Himawari-9
2023,4,5,48.92,126.12,10.56,AHI Himawari-9
2023,4,5,48.92,130,3,AHI Himawari-9
2023,4,5,48.92,130.02,3,AHI Himawari-9
2023,4,5,48.9,123.98,3.88,AHI Himawari-9
2023,4,5,48.9,124,3.88,AHI Himawari-9
2023,4,5,48.9,124.42,20.77,AHI Himawari-9
2023,4,5,48.9,124.64,2.09,AHI Himawari-9
2023,4,5,48.9,124.7,7.4,AHI Himawari-9
2023,4,5,48.88,123.46,20.15,AHI Himawari-9
2023,4,5,48.88,124.02,29.34,AHI Himawari-9
2023,4,5,48.88,124.04,29.34,AHI Himawari-9
2023,4,5,48.88,124.26,59.92,AHI Himawari-9
2023,4,5,48.86,124.02,29.34,AHI Himawari-9
2023,4,5,48.86,124.04,29.34,AHI Himawari-9
2023,4,5,48.84,124.34,21.39,AHI Himawari-9
2023,4,5,48.84,124.36,21.39,AHI Himawari-9
2023,4,5,48.82,124.36,21.39,AHI Himawari-9
2023,4,5,48.8,124.18,9.16,AHI Himawari-9
2023,4,5,48.8,124.2,5.74,AHI Himawari-9
2023,4,5,48.8,124.22,5.74,AHI Himawari-9
2023,4,5,48.8,125.66,62.98,AHI Himawari-9
2023,4,5,48.8,130.08,9.98,AHI Himawari-9
2023,4,5,48.8,130.1,9.98,AHI Himawari-9
2023,4,5,48.78,124.06,11.87,AHI Himawari-9
2023,4,5,48.78,124.08,11.87,AHI Himawari-9
