latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,addressen
46.29676,132.36664,334.4,0.72,0.76,2023/4/5 10:38,2:38,1,VIIRS NOAA-20,n,2.0NRT,288.12,3.95,D,"Wanjinshan Township, Baoqing County, Shuangyashan City, Heilongjiang Province"
46.60287,132.61957,327.92,0.69,0.74,2023/4/5 10:38,2:38,1,VIIRS NOAA-20,n,2.0NRT,287.43,2.97,D,"Jianshanzi Township, Baoqing County, Shuangyashan City, Heilongjiang Province"
46.55366,131.89534,325.08,0.74,0.76,2023/4/5 10:38,2:38,1,VIIRS NOAA-20,n,2.0NRT,287.14,5.31,D,"Qixing Baozhen, Baoqing County, Shuangyashan City, Heilongjiang Province"
46.55044,131.86499,337.81,0.74,0.76,2023/4/5 10:38,2:38,1,VIIRS NOAA-20,n,2.0NRT,286.69,12.3,D,"Qixing Baozhen, Baoqing County, Shuangyashan City, Heilongjiang Province"
46.55988,131.84712,325.93,0.74,0.76,2023/4/5 10:38,2:38,1,VIIRS NOAA-20,n,2.0NRT,287.81,2.78,D,"Qixing Baozhen, Baoqing County, Shuangyashan City, Heilongjiang Province"
47.48424,131.86214,332.26,0.69,0.74,2023/4/5 10:41,2:41,1,VIIRS NOAA-20,n,2.0NRT,287.1,4.85,D,"Zhongren Town, Suibin County, Hegang City, Heilongjiang Province"
47.48182,131.86261,335,0.69,0.74,2023/4/5 10:41,2:41,1,VIIRS NOAA-20,n,2.0NRT,286.85,4.02,D,"Zhongren Town, Suibin County, Hegang City, Heilongjiang Province"
47.33104,131.64279,367,0.71,0.75,2023/4/5 10:41,2:41,1,VIIRS NOAA-20,h,2.0NRT,290.15,9.58,D,"Fuqiang Township, Suibin County, Hegang City, Heilongjiang Province"
47.30352,131.73962,326.53,0.7,0.75,2023/4/5 10:41,2:41,1,VIIRS NOAA-20,n,2.0NRT,287.97,5.12,D,"Beigang Township, Suibin County, Hegang City, Heilongjiang Province"
45.33119,130.11839,333.61,0.41,0.37,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,282.11,3.9,D,"Longjiao Town, Linkou County, Mudanjiang City, Heilongjiang Province"
45.33051,130.13954,327.47,0.41,0.37,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,283.63,1.61,D,"Longjiao Town, Linkou County, Mudanjiang City, Heilongjiang Province"
45.23592,130.14067,325.95,0.41,0.37,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,285.91,1.42,D,"Longjiao Town, Linkou County, Mudanjiang City, Heilongjiang Province"
46.2523,127.98058,326.34,0.39,0.36,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,271.61,2.45,D,"Dagui Town, Mulan County, Harbin City, Heilongjiang Province"
46.25303,127.98549,340.02,0.39,0.36,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,272.97,2.45,D,"Xinglong Forestry Bureau Office, Mulan County, Harbin City, Heilongjiang Province"
46.1193,127.13192,326.39,0.38,0.36,2023/4/5 12:17,4:17,1,VIIRS NOAA-20,n,2.0NRT,279.07,2.58,D,"Yanglin Township, Hulan District, Harbin City, Heilongjiang Province"
